buffer,lon,lat,year,TIN,NO3,NH4
10km,-91.7975545,33.225724,2000,581.5374755859375,310.6934509277344,270.84405517578125
10km,-91.7975545,33.225724,2001,698.89959716796875,351.8418273925781,347.0578308105469
10km,-91.7975545,33.225724,2002,607.0599365234375,280.2719421386719,326.78802490234375
10km,-91.7975545,33.225724,2003,531.47454833984375,226.54039001464844,304.93414306640625
10km,-91.7975545,33.225724,2004,608.570556640625,306.76177978515625,301.80877685546875
10km,-91.7975545,33.225724,2005,435.2952575683594,200.1010284423828,235.19424438476562
10km,-91.7975545,33.225724,2006,489.98876953125,230.8212890625,259.1674499511719
10km,-91.7975545,33.225724,2007,430.3009948730469,196.76025390625,233.54075622558594
10km,-91.7975545,33.225724,2008,516.6610107421875,244.07106018066406,272.5899963378906
10km,-91.7975545,33.225724,2009,779.81134033203125,226.50296020507812,553.308349609375
10km,-91.7975545,33.225724,2010,390.637451171875,154.595947265625,236.04148864746094
10km,-91.7975545,33.225724,2011,429.1517639160156,188.07174682617188,241.08001708984375
10km,-91.7975545,33.225724,2012,487.74609375,188.44921875,299.2968444824219
10km,-91.7975545,33.225724,2013,507.31201171875,214.45709228515625,292.8548889160156
10km,-91.7975545,33.225724,2014,405.2464294433594,177.48756408691406,227.7588653564453
10km,-91.7975545,33.225724,2015,428.16253662109375,182.43389892578125,245.7286376953125
10km,-91.7975545,33.225724,2016,458.1038513183594,201.15284729003906,256.9510192871094
10km,-91.7975545,33.225724,2017,475.2617492675781,192.859375,282.4023742675781
10km,-91.7975545,33.225724,2018,453.4051818847656,201.89414978027344,251.5110321044922
10km,-91.7975545,33.225724,2019,659.94036865234375,259.05853271484375,400.8818359375
10km,-91.7975545,33.225724,2020,521.07568359375,215.53018188476562,305.5455017089844
10km,-91.8021856,33.6296702,1999,533.38543701171875,247.1139678955078,286.271484375
10km,-91.8021856,33.6296702,2000,495.5145263671875,261.32574462890625,234.18878173828125
10km,-91.8021856,33.6296702,2001,625.16778564453125,307.9286193847656,317.2391357421875
10km,-91.8021856,33.6296702,2002,647.87103271484375,280.8417663574219,367.02923583984375
10km,-91.8021856,33.6296702,2003,493.1234130859375,210.50450134277344,282.6189270019531
10km,-91.8021856,33.6296702,2004,599.6514892578125,294.1314697265625,305.5200500488281
10km,-91.8021856,33.6296702,2005,452.722412109375,203.92626953125,248.796142578125
10km,-91.8021856,33.6296702,2006,444.5989990234375,206.08604431152344,238.51296997070312
10km,-91.8021856,33.6296702,2007,396.5328369140625,176.00448608398438,220.5283203125
10km,-91.8021856,33.6296702,2008,470.8441467285156,221.89381408691406,248.95033264160156
10km,-91.8021856,33.6296702,2009,879.17205810546875,231.73403930664062,647.43798828125
10km,-91.8021856,33.6296702,2010,411.8625183105469,156.25865173339844,255.60389709472656
10km,-91.8021856,33.6296702,2011,467.8418273925781,200.25706481933594,267.5847473144531
10km,-91.8021856,33.6296702,2012,501.17694091796875,186.63462829589844,314.5423278808594
10km,-91.8021856,33.6296702,2013,510.44744873046875,214.98580932617188,295.461669921875
10km,-91.8021856,33.6296702,2014,386.63848876953125,169.65516662597656,216.9833221435547
10km,-91.8021856,33.6296702,2015,463.6360168457031,199.2352294921875,264.40081787109375
10km,-91.8021856,33.6296702,2016,403.4345397949219,187.6637420654297,215.77081298828125
10km,-91.8021856,33.6296702,2017,480.158447265625,190.97364807128906,289.1847839355469
10km,-91.8021856,33.6296702,2018,439.16741943359375,199.7626953125,239.40472412109375
10km,-91.8021856,33.6296702,2019,630.61663818359375,251.02940368652344,379.58721923828125
10km,-91.8021856,33.6296702,2020,529.2032470703125,221.6719970703125,307.53125
10km,-91.8227,36.3710114,1999,434.0845947265625,237.2520751953125,196.83251953125
10km,-91.8227,36.3710114,2000,470.4822082519531,255.74041748046875,214.74179077148438
